acc,gamma,graph,mse_naive,mse_our,rate,seed
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,20
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,21
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,22
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,23
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,24
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,25
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,26
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,27
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,28
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,1,29
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,20
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,21
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,22
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,23
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,24
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,25
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,26
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,27
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,28
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,3,29
0.0,0.05,WS_N_100_K_30_P_0.2,0.35134509145271203,0.9659975743330048,5,20
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,5,21
0.0,0.05,WS_N_100_K_30_P_0.2,0.32799704381844347,0.9541791798354632,5,22
0.0,0.05,WS_N_100_K_30_P_0.2,0.3265173114454025,0.9782584692773366,5,23
0.0,0.05,WS_N_100_K_30_P_0.2,0.319246321633086,0.9424721527309649,5,24
0.0,0.05,WS_N_100_K_30_P_0.2,0.37895254874953604,1.0,5,25
0.5,0.05,WS_N_100_K_30_P_0.2,-1.0,-1.0,5,26
0.0,0.05,WS_N_100_K_30_P_0.2,0.3317952937074551,0.9629123385743563,5,27
0.0,0.05,WS_N_100_K_30_P_0.2,0.3295163576476664,0.9577789145141039,5,28
0.0,0.05,WS_N_100_K_30_P_0.2,0.35844577425273316,0.97032746762312,5,29
0.05714285714285714,0.05,WS_N_100_K_30_P_0.2,0.2164635261224926,0.6870894572477371,7,20
0.0,0.05,WS_N_100_K_30_P_0.2,0.20687600514365984,0.7359038250078596,7,21
0.10256410256410256,0.05,WS_N_100_K_30_P_0.2,0.23245886589496334,0.6568637350319815,7,22
0.015384615384615385,0.05,WS_N_100_K_30_P_0.2,0.20242092080698953,0.7153981939646487,7,23
0.056338028169014086,0.05,WS_N_100_K_30_P_0.2,0.21448320969260387,0.68230603324197,7,24
0.0,0.05,WS_N_100_K_30_P_0.2,0.19251296719259087,0.7509618905640981,7,25
0.16049382716049382,0.05,WS_N_100_K_30_P_0.2,0.23871320457287662,0.649467139812116,7,26
0.046875,0.05,WS_N_100_K_30_P_0.2,0.2120374863334919,0.7158867291280022,7,27
0.015625,0.05,WS_N_100_K_30_P_0.2,0.21013131708502164,0.7181396261004203,7,28
0.14473684210526316,0.05,WS_N_100_K_30_P_0.2,0.25055800433923514,0.6641267473136184,7,29
0.31,0.05,WS_N_100_K_30_P_0.2,0.3247356966020801,0.6140597565075233,9,20
0.3,0.05,WS_N_100_K_30_P_0.2,0.32814199625348656,0.6127811288014801,9,21
0.27,0.05,WS_N_100_K_30_P_0.2,0.320563797808702,0.6200295123642969,9,22
0.3,0.05,WS_N_100_K_30_P_0.2,0.3348423533272113,0.6213202809760673,9,23
0.3,0.05,WS_N_100_K_30_P_0.2,0.3212981092350455,0.6065570968698908,9,24
0.3,0.05,WS_N_100_K_30_P_0.2,0.31938105245798887,0.6151704472372337,9,25
0.31,0.05,WS_N_100_K_30_P_0.2,0.32467292955463933,0.6126548144116155,9,26
0.33,0.05,WS_N_100_K_30_P_0.2,0.32074883034061824,0.6093544213360352,9,27
0.29,0.05,WS_N_100_K_30_P_0.2,0.3258359117775155,0.6155828753077096,9,28
0.3,0.05,WS_N_100_K_30_P_0.2,0.31625341092972226,0.6156258634180461,9,29
0.25,0.05,WS_N_100_K_30_P_0.2,0.33869673395821764,0.6781345740452787,11,20
0.25,0.05,WS_N_100_K_30_P_0.2,0.33111695864561735,0.67032361750562,11,21
0.26,0.05,WS_N_100_K_30_P_0.2,0.31616329265214477,0.6618638283393243,11,22
0.27,0.05,WS_N_100_K_30_P_0.2,0.3282449966531703,0.6538849130830232,11,23
0.26,0.05,WS_N_100_K_30_P_0.2,0.33076527703639697,0.6598021706283103,11,24
0.25,0.05,WS_N_100_K_30_P_0.2,0.33526696265509726,0.6687437732973435,11,25
0.2,0.05,WS_N_100_K_30_P_0.2,0.311871630556433,0.6579742628802377,11,26
0.28,0.05,WS_N_100_K_30_P_0.2,0.3321247513004582,0.6716456906821617,11,27
0.26,0.05,WS_N_100_K_30_P_0.2,0.32567386761974576,0.662543774844061,11,28
0.26,0.05,WS_N_100_K_30_P_0.2,0.32808019371615893,0.6699896296403053,11,29
0.46,0.05,WS_N_100_K_30_P_0.2,0.3429276958617029,0.39941906515313635,13,20
0.45,0.05,WS_N_100_K_30_P_0.2,0.3459686587980189,0.4083386598238623,13,21
0.45,0.05,WS_N_100_K_30_P_0.2,0.34616539031896343,0.41096024310058127,13,22
0.41,0.05,WS_N_100_K_30_P_0.2,0.3285144053956323,0.4022179384408749,13,23
0.46,0.05,WS_N_100_K_30_P_0.2,0.35439671607793066,0.41682237308459924,13,24
0.46,0.05,WS_N_100_K_30_P_0.2,0.3377335936723596,0.3877687037150338,13,25
0.48,0.05,WS_N_100_K_30_P_0.2,0.362368524070909,0.42310144331934574,13,26
0.46,0.05,WS_N_100_K_30_P_0.2,0.3459635615502516,0.4051138954387497,13,27
0.49,0.05,WS_N_100_K_30_P_0.2,0.35590456481059307,0.4082426370274111,13,28
