gamma,rate,seed,acc,mse_our,mse_naive,graph
0.05,15,0,0.71,0.3984940292949729,0.37930366786828895,WS_N_100_K_30_P_0.2
0.05,15,1,0.61,0.44137690946759994,0.36766417533402623,WS_N_100_K_30_P_0.2
0.05,15,2,0.67,0.4406591582833854,0.3809101270593548,WS_N_100_K_30_P_0.2
0.05,15,3,0.69,0.4155149098386825,0.3757785029708386,WS_N_100_K_30_P_0.2
0.05,15,4,0.62,0.4271492623296814,0.36189045612030857,WS_N_100_K_30_P_0.2
0.05,16,0,0.69,0.4395781044546286,0.386764218437554,WS_N_100_K_30_P_0.2
0.05,16,1,0.73,0.38691809586437137,0.37173887980270715,WS_N_100_K_30_P_0.2
0.05,16,2,0.75,0.3793276554502657,0.37443423176936025,WS_N_100_K_30_P_0.2
0.05,16,3,0.79,0.37208861652068426,0.3830954477677271,WS_N_100_K_30_P_0.2
0.05,16,4,0.74,0.39567123137720506,0.3815760247284291,WS_N_100_K_30_P_0.2
0.05,17,0,0.73,0.3942269913160617,0.3785194960910186,WS_N_100_K_30_P_0.2
0.05,17,1,0.82,0.3566847845713356,0.39436209338316147,WS_N_100_K_30_P_0.2
0.05,17,2,0.81,0.3701797648016804,0.39533580360315146,WS_N_100_K_30_P_0.2
0.05,17,3,0.79,0.3774159682662147,0.38542709433175726,WS_N_100_K_30_P_0.2
0.05,17,4,0.84,0.3561181518939859,0.3964462352777873,WS_N_100_K_30_P_0.2
0.05,18,0,0.78,0.37037428304057174,0.38059791789863145,WS_N_100_K_30_P_0.2
0.05,18,1,0.87,0.31158281534325194,0.3890688485554449,WS_N_100_K_30_P_0.2
0.05,18,2,0.81,0.3535395801188136,0.3857431959651592,WS_N_100_K_30_P_0.2
0.05,18,3,0.88,0.3140920809820384,0.39336628515299443,WS_N_100_K_30_P_0.2
0.05,18,4,0.86,0.33101210687010074,0.39254174447345624,WS_N_100_K_30_P_0.2
0.05,19,0,0.9,0.2856860377881851,0.39099426190845005,WS_N_100_K_30_P_0.2
0.05,19,1,0.94,0.22711221618001914,0.387529023479566,WS_N_100_K_30_P_0.2
