gamma,rate,seed,acc,mse_our,mse_naive,graph
0.05,30,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.05,30,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.05,30,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.05,30,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.05,30,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.05,31,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.05,31,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.05,31,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.05,31,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.05,31,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.05,32,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.05,32,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.05,32,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.05,32,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.05,32,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.05,33,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.05,33,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.05,33,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.05,33,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.05,33,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.05,34,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.05,34,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.05,34,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.05,34,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.05,34,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.05,35,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.05,35,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.05,35,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.05,35,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.05,35,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.05,36,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.05,36,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.05,36,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.05,36,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.05,36,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.05,37,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.05,37,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.05,37,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.05,37,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.05,37,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
